,가계지출_소비지출_식료품비주류음료구입비,가계지출_소비지출_주류담배구입비,가계지출_소비지출_의류신발구입비,가계지출_소비지출_주거수도광열비,가계지출_소비지출_가정용품가사서비스이용금액,가계지출_소비지출_보건제품구입비,가계지출_소비지출_교통비,가계지출_소비지출_통신비,가계지출_소비지출_오락문화비,가계지출_소비지출_교육비,가계지출_소비지출_음식숙박비,가계지출_소비지출_기타상품서비스이용금액
220,177725,100250,42350,300380,100,2500,124080,79500,138550,0,354550,44930
221,164772,131360,20641,325110,11752,94600,316352,55362,40624,78000,404696,350731
222,78510,27490,0,314600,0,11500,106800,150980,27800,0,221000,22000
223,140700,517750,0,373400,0,13100,333250,33121,446750,0,783800,12000
224,58004,4480,44600,403482,3178,115512,84946,0,104980,0,529051,114077
225,131300,7960,52676,449347,28062,56700,37517,53821,58033,0,290575,90227
226,41007,21317,65815,437072,19170,25203,50968,44901,189028,0,309970,172142
227,103300,0,0,471540,92730,100684,176150,54054,71960,0,642870,107617
228,77460,22500,16460,467670,0,0,84309,0,62500,0,74800,11612
229,92342,0,278080,430860,6602,58006,184589,0,105140,44000,582524,38262
230,153600,3667,78047,84567,10440,42056,192830,62096,135623,106667,544939,223683
231,54150,0,90600,384767,22107,58217,104653,0,56600,0,262857,68175
232,168070,52703,152168,84107,151690,4100,159675,103109,77040,24750,342280,107283
233,77940,20997,110300,247088,42783,197705,276443,47073,108533,91500,370717,171742
234,93475,62225,171750,106058,80380,9950,193175,34687,147105,0,316725,80075
235,22047,1933,273433,467863,1317,0,163067,39547,86170,0,177667,273875
236,88427,27000,0,519120,4300,21940,172733,107348,38000,0,212133,45511
237,143438,19695,147441,337107,57468,202185,569768,64537,169063,0,861551,147056
238,33185,0,8713,366543,35267,29648,5107,0,207733,0,358583,96085
239,167316,23860,68900,120742,16930,57900,65304,35820,136940,0,475200,59884
240,83330,0,16250,256693,107790,3667,319900,70888,54392,0,347455,72251
241,21298,0,238450,106630,11688,187890,190400,34231,68463,0,496683,243188
242,134714,8280,343249,118518,63984,172866,133935,59764,323232,67800,511166,567997
243,8000,67500,45000,503310,20810,21100,115520,25850,62900,0,278700,4434
244,170870,14980,10000,357840,3100,7800,97735,66548,17100,0,121400,94681
245,62290,0,0,390055,0,0,90079,913642,11800,0,456400,57926
246,111485,11067,67723,72855,1703,32183,149570,18000,149392,0,448400,73405
247,42717,7500,14000,321533,5167,9500,172100,68000,43833,0,481267,48617
248,125330,32067,34990,357660,45057,4100,79600,2927,29570,0,168293,59923
249,91200,0,60000,132790,0,0,367800,73900,2500,0,316600,45105
250,73800,78100,27284,87910,72400,0,96100,70730,86750,0,206950,74386
251,163320,18060,192500,87000,15370,8700,261950,16435,47000,0,569900,86390
252,142380,46820,83560,125430,87800,21700,266900,70160,132113,0,329500,35785
253,72800,55900,159830,110950,33200,171200,36200,38990,135400,0,135700,202105
254,82390,0,76658,55380,10000,4000,138050,55794,65660,0,295100,19368
255,163892,39720,6196,450264,3732,40400,39304,16770,166250,0,161042,65620
256,94375,1600,70000,270000,0,0,125000,0,25400,0,405050,34500
257,29818,17388,148994,308583,12085,8600,109363,40920,24443,0,628678,151169
258,87825,17500,34597,362368,12750,9775,102848,47913,18353,0,644575,42825
259,48400,71625,39468,327740,2825,8975,43640,0,281625,0,197400,86343
260,49053,0,19300,324090,4167,134367,19950,19900,8383,0,112600,30917
261,92013,64667,251081,350917,3167,7700,537000,46667,428970,0,178267,130616
262,60140,3700,23387,351573,9923,16583,74897,30135,99093,4000,264083,65320
263,146433,81000,0,528457,0,0,693100,77833,452313,0,305467,12391
264,160975,25500,8000,528593,249800,6400,34515,38750,55000,25000,395450,33350
265,23350,0,0,43100,0,0,69500,56169,3521,0,309000,52900
266,123952,2490,109262,62610,142688,281515,85310,109739,90706,0,216102,111461
267,144730,0,141980,94652,46000,11200,43570,14850,11500,0,259825,49885
268,155564,21548,67025,132365,22098,116803,88943,187649,160957,25000,339762,271726
269,74713,5072,90728,390162,47944,118890,36173,68908,155604,0,291894,182889
270,70558,12660,287736,472010,15460,37640,171624,44248,194578,0,568164,107955
271,128620,6520,0,35320,157900,48100,4990,0,14000,0,113000,0
272,60180,21000,135900,369780,0,638010,58600,0,67500,0,184560,38499
273,160383,22733,3250,519600,9333,447600,47600,78240,248667,0,158933,135963
274,81127,29333,193640,524650,18230,3000,150103,59084,174000,0,280400,221849
275,151965,1667,20900,249002,10885,14517,69335,68312,52767,0,520614,44998
276,193960,63330,0,436380,229620,44100,271280,54028,19296,0,264800,10000
277,79580,33333,34000,188137,69028,14467,218333,86213,132242,126667,383337,296575
278,171170,0,755604,372060,4400,768040,145000,64110,100727,0,766100,132545
279,99055,0,281762,80565,44225,100600,158220,49990,45415,167000,470908,110188
280,70150,25000,211495,92247,9700,4500,69625,16000,393482,270000,327733,108845
281,125053,0,14752,110172,4665,25478,66422,25050,162652,33167,181168,78812
282,201042,11917,119083,237817,0,50145,55644,43913,25782,35000,306817,102191
283,34095,87200,750,447600,2925,0,119576,35625,57651,0,331675,61861
284,403098,2900,383969,352675,76918,154803,136715,18975,108965,159000,407363,175670
285,234817,7755,160398,479587,26605,98848,97475,101329,73659,0,779783,172919
286,110250,116893,176127,392457,33008,23953,41055,56500,20548,0,374983,89809
287,51012,33550,43738,19802,7063,0,90259,583,63725,0,326293,9317
288,62878,0,194764,19993,5425,11593,149718,1000,76125,58900,257468,41840
289,38550,21300,54000,389920,5000,38000,75250,4000,18700,0,128650,38400
290,150328,31025,262583,30073,18150,29025,70955,0,64825,0,446275,246040
291,166135,7700,183806,25490,25012,103060,121768,0,75440,52000,578212,137066
292,56450,0,0,213860,0,7400,59400,31750,273590,0,486300,2006
293,115113,3000,289164,213420,32008,122862,180950,39800,174230,84167,295408,143027
294,74707,6717,107142,62005,3928,44158,172543,33933,63090,125000,487402,87391
295,184826,22607,208420,441866,55993,92669,41182,33520,54524,500483,339049,111229
296,88955,0,75322,73827,10843,63731,36447,39320,227969,6000,463769,99850
297,58758,135617,17267,263913,4083,73200,167322,100063,512177,731333,398617,64006
298,36470,10000,130884,430872,4200,3380,121102,39900,59996,164000,705906,32400
299,100106,0,183074,420430,0,51928,44738,30250,181670,0,697813,78954
300,135153,0,30965,296895,4578,91597,135606,6000,211192,186767,160837,53288
301,22175,10550,137000,58320,25150,7600,86825,12000,57850,0,180150,72700
302,103265,16775,4975,43293,10660,2850,25990,14500,113220,0,243303,40628
303,82356,0,6167,344687,1750,2717,60625,61693,22358,0,229393,42422
304,238471,0,59603,359967,54058,27550,85243,30163,561937,0,248012,52860
305,116725,3875,168277,45185,22300,25535,141525,0,129950,0,169925,99240
306,168379,57142,332309,139253,26492,54943,322127,27435,96832,61667,660520,157021
307,171975,1617,45317,518358,55083,68717,478027,46990,31157,509667,421729,59577
308,64528,0,81762,387915,17197,82217,195700,34933,25950,462833,376765,134227
309,91430,3977,86303,532455,23537,0,130840,4773,90750,0,408823,94714
310,21950,715000,31960,420789,28480,2000,248850,73050,67297,0,311300,100224
311,92578,2560,122551,369352,6601,34181,140583,34534,36030,0,308755,36556
312,66507,2012,19913,391171,9008,60678,37808,31698,52797,0,273736,57019
313,73408,0,6250,366633,53473,78925,64000,310583,61887,0,345780,45444
314,119466,10280,45780,360578,6116,69088,336224,27012,117958,8800,379540,167737
315,52250,29250,68320,259809,9950,90051,79050,58254,35549,0,277822,142724
316,46260,50000,167560,272555,37550,24900,33000,57463,23818,0,145800,65933
317,101806,11242,73172,28165,20216,21642,32238,0,130146,0,311654,78838
318,169127,71592,32993,49973,4070,41183,125146,1667,63477,0,351467,28463
319,209933,0,0,14420,17500,217770,21600,11890,9500,0,186400,69200
320,45633,0,28833,0,167,1000,40092,0,14400,536217,237728,35275
321,12098,97967,8500,0,3788,3550,44123,0,83900,0,180400,18567
322,50200,0,0,3300,11760,19400,54650,0,150000,0,182200,4700
323,190500,22500,0,350000,50,0,103000,10000,3000,0,340000,12000
324,186120,0,3333,513317,42627,291957,34750,75533,63417,0,124953,146647
325,106970,9000,0,168090,0,0,52475,61690,82850,0,120300,18400
326,18150,0,58300,209450,0,40200,135290,70680,38300,0,128300,132520
327,41800,0,0,836230,0,25100,59550,75184,56810,0,413790,172
328,35962,105170,18626,303542,0,159954,242620,68762,34066,0,396290,14051
329,121033,2978,285849,473160,14618,84920,177620,60077,199594,0,544638,227905
330,26330,50860,0,25810,224,2200,93571,706,114784,0,357383,16080
